r 25 00000000  
w 25 00001F2E  
r 178 00000000  
w 178 00001F2E  
r 316 00000000  
w 316 00001F2E  
r 41 00000000  
w 41 00001F2E  
r 128 00000000  
w 128 00001F2E  
r 295 00000000  
w 295 00001F2E  
r 97 00000000  
w 97 00001F2E  
r 407 00000000  
w 407 00001F2E  
r 300 00000000  
w 300 00001F2E  
r 498 00000000  
w 498 00001F2E  
r 289 00000000  
w 289 00001F2E  
r 186 00000000  
w 186 00001F2E  
r 388 00000000  
w 388 00001F25  
r 119 00000000  
w 119 00001F25  
r 485 00000000  
w 485 00001F25  
r 353 00000000  
w 353 00001F25  
r 281 00000000  
w 281 00001F25  
r 498 00001F2E  
w 498 00003E53  
r 233 00000000  
w 233 00001F25  
r 192 00000000  
w 192 00001F25  
r 302 00000000  
w 302 00001F25  
r 235 00000000  
w 235 00001F25  
r 35 00000000  
w 35 00001F25  
r 44 00000000  
w 44 00001F25  
r 505 00000000  
w 505 00001F25  
r 339 00000000  
w 339 00001F25  
r 432 00000000  
w 432 00001F25  
r 234 00000000  
w 234 00001F25  
r 486 00000000  
w 486 00001F25  
r 105 00000000  
w 105 00001F25  
r 328 00000000  
w 328 00001F25  
r 208 00000000  
w 208 00001F25  
r 340 00000000  
w 340 00001F25  
r 304 00000000  
w 304 00001F25  
r 136 00000000  
w 136 00001F25  
r 262 00000000  
w 262 00001F25  
r 430 00000000  
w 430 00001F73  
r 292 00000000  
w 292 00001F73  
r 114 00000000  
w 114 00001F73  
r 346 00000000  
w 346 00001F73  
r 281 00001F25  
w 281 00003E98  
r 243 00000000  
w 243 00001F73  
r 112 00000000  
w 112 00001F73  
r 304 00001F25  
w 304 00003E98  
r 262 00001F25  
w 262 00003E98  
r 38 00000000  
w 38 00001F73  
r 275 00000000  
w 275 00001F73  
r 432 00001F25  
w 432 00003E98  
r 296 00000000  
w 296 00001F35  
r 237 00000000  
w 237 00001F35  
r 487 00000000  
w 487 00001F35  
r 395 00000000  
w 395 00001F35  
r 152 00000000  
w 152 00001F35  
r 121 00000000  
w 121 00001F35  
r 199 00000000  
w 199 00001F35  
r 412 00000000  
w 412 00001F35  
r 319 00000000  
w 319 00001F35  
r 361 00000000  
w 361 00001F35  
r 302 00001F25  
w 302 00003E5A  
r 23 00000000  
w 23 00001F35  
r 30 00000000  
w 30 00001F12  
r 255 00000000  
w 255 00001F12  
r 241 00000000  
w 241 00001F12  
r 202 00000000  
w 202 00001F12  
r 138 00000000  
w 138 00001F12  
r 446 00000000  
w 446 00001F12  
r 75 00000000  
w 75 00001F12  
r 313 00000000  
w 313 00001F12  
r 291 00000000  
w 291 00001F12  
r 435 00000000  
w 435 00001F12  
r 392 00000000  
w 392 00001F12  
r 281 00003E98  
w 281 00005DAA  
r 510 00000000  
w 510 00001F0F  
r 247 00000000  
w 247 00001F0F  
r 255 00001F12  
w 255 00003E21  
r 399 00000000  
w 399 00001F0F  
r 471 00000000  
w 471 00001F0F  
r 228 00000000  
w 228 00001F0F  
r 58 00000000  
w 58 00001F0F  
r 136 00001F25  
w 136 00003E34  
r 428 00000000  
w 428 00001F0F  
r 137 00000000  
w 137 00001F0F  
r 358 00000000  
w 358 00001F0F  
r 48 00000000  
w 48 00001F0F  
r 43 00000000  
w 43 00001F55  
r 324 00000000  
w 324 00001F55  
r 413 00000000  
w 413 00001F55  
r 230 00000000  
w 230 00001F55  
r 52 00000000  
w 52 00001F55  
r 48 00001F0F  
w 48 00003E64  
r 331 00000000  
w 331 00001F55  
r 368 00000000  
w 368 00001F55  
r 85 00000000  
w 85 00001F55  
r 119 00001F25  
w 119 00003E7A  
r 281 00005DAA  
w 281 00007CFF  
r 352 00000000  
w 352 00001F55  
r 462 00000000  
w 462 00001F5C  
r 250 00000000  
w 250 00001F5C  
r 372 00000000  
w 372 00001F5C  
r 410 00000000  
w 410 00001F5C  
r 122 00000000  
w 122 00001F5C  
r 326 00000000  
w 326 00001F5C  
r 371 00000000  
w 371 00001F5C  
r 79 00000000  
w 79 00001F5C  
r 134 00000000  
w 134 00001F5C  
r 391 00000000  
w 391 00001F5C  
r 409 00000000  
w 409 00001F5C  
r 404 00000000  
w 404 00001F5C  
r 23 00001F35  
w 23 00003EAF  
r 316 00001F2E  
w 316 00003EA8  
r 491 00000000  
w 491 00001F7A  
r 361 00001F35  
w 361 00003EAF  
r 234 00001F25  
w 234 00003E9F  
r 15 00000000  
w 15 00001F7A  
r 243 00001F73  
w 243 00003EED  
r 194 00000000  
w 194 00001F7A  
r 11 00000000  
w 11 00001F7A  
r 324 00001F55  
w 324 00003ECF  
r 124 00000000  
w 124 00001F7A  
r 98 00000000  
w 98 00001F7A  
r 501 00000000  
w 501 00001F3D  
r 74 00000000  
w 74 00001F3D  
r 103 00000000  
w 103 00001F3D  
r 251 00000000  
w 251 00001F3D  
r 161 00000000  
w 161 00001F3D  
r 505 00001F25  
w 505 00003E62  
r 6 00000000  
w 6 00001F3D  
r 318 00000000  
w 318 00001F3D  
r 203 00000000  
w 203 00001F3D  
r 203 00001F3D  
w 203 00003E7A  
r 466 00000000  
w 466 00001F3D  
r 363 00000000  
w 363 00001F3D  
r 121 00001F35  
w 121 00003E8F  
r 279 00000000  
w 279 00001F5A  
r 418 00000000  
w 418 00001F5A  
r 275 00001F73  
w 275 00003ECD  
r 179 00000000  
w 179 00001F5A  
r 148 00000000  
w 148 00001F5A  
r 223 00000000  
w 223 00001F5A  
r 218 00000000  
w 218 00001F5A  
r 164 00000000  
w 164 00001F5A  
r 69 00000000  
w 69 00001F5A  
r 210 00000000  
w 210 00001F5A  
r 345 00000000  
w 345 00001F5A  
r 171 00000000  
w 171 00001F25  
r 427 00000000  
w 427 00001F25  
r 469 00000000  
w 469 00001F25  
r 304 00003E98  
w 304 00005DBD  
r 163 00000000  
w 163 00001F25  
r 151 00000000  
w 151 00001F25  
r 422 00000000  
w 422 00001F25  
r 300 00001F2E  
w 300 00003E53  
r 58 00001F0F  
w 58 00003E34  
r 295 00001F2E  
w 295 00003E53  
r 24 00000000  
w 24 00001F25  
r 288 00000000  
w 288 00001F25  
r 433 00000000  
w 433 00001F44  
r 176 00000000  
w 176 00001F44  
r 385 00000000  
w 385 00001F44  
r 444 00000000  
w 444 00001F44  
r 183 00000000  
w 183 00001F44  
r 191 00000000  
w 191 00001F44  
r 120 00000000  
w 120 00001F44  
r 432 00003E98  
w 432 00005DDC  
r 400 00000000  
w 400 00001F44  
r 199 00001F35  
w 199 00003E79  
r 129 00000000  
w 129 00001F44  
r 390 00000000  
w 390 00001F44  
r 123 00000000  
w 123 00001F28  
r 68 00000000  
w 68 00001F28  
r 162 00000000  
w 162 00001F28  
r 175 00000000  
w 175 00001F28  
r 351 00000000  
w 351 00001F28  
r 210 00001F5A  
w 210 00003E82  
r 133 00000000  
w 133 00001F28  
r 143 00000000  
w 143 00001F28  
r 456 00000000  
w 456 00001F28  
r 174 00000000  
w 174 00001F28  
r 430 00001F73  
w 430 00003E9B  
r 172 00000000  
w 172 00001F28  
r 65 00000000  
w 65 00001F3E  
r 136 00003E34  
w 136 00005D72  
r 359 00000000  
w 359 00001F3E  
r 263 00000000  
w 263 00001F3E  
r 380 00000000  
w 380 00001F3E  
r 203 00003E7A  
w 203 00005DB8  
r 190 00000000  
w 190 00001F3E  
r 345 00001F5A  
w 345 00003E98  
r 498 00003E53  
w 498 00005D91  
r 295 00003E53  
w 295 00005D91  
r 439 00000000  
w 439 00001F3E  
r 164 00001F5A  
w 164 00003E98  
r 40 00000000  
w 40 00001F35  
r 123 00001F28  
w 123 00003E5D  
r 257 00000000  
w 257 00001F35  
r 18 00000000  
w 18 00001F35  
r 79 00001F5C  
w 79 00003E91  
r 405 00000000  
w 405 00001F35  
r 45 00000000  
w 45 00001F35  
r 492 00000000  
w 492 00001F35  
r 16 00000000  
w 16 00001F35  
r 4 00000000  
w 4 00001F35  
r 298 00000000  
w 298 00001F35  
r 338 00000000  
w 338 00001F35  
r 394 00000000  
w 394 00001F15  
r 290 00000000  
w 290 00001F15  
r 446 00001F12  
w 446 00003E27  
r 451 00000000  
w 451 00001F15  
r 266 00000000  
w 266 00001F15  
r 253 00000000  
w 253 00001F15  
r 461 00000000  
w 461 00001F15  
r 116 00000000  
w 116 00001F15  
r 13 00000000  
w 13 00001F15  
r 25 00001F2E  
w 25 00003E43  
r 335 00000000  
w 335 00001F15  
r 388 00001F25  
w 388 00003E3A  
r 366 00000000  
w 366 00001F3D  
r 352 00001F55  
w 352 00003E92  
r 115 00000000  
w 115 00001F3D  
r 119 00003E7A  
w 119 00005DB7  
r 327 00000000  
w 327 00001F3D  
r 92 00000000  
w 92 00001F3D  
r 288 00001F25  
w 288 00003E62  
r 269 00000000  
w 269 00001F3D  
