w 1 00000003  
w 2 00000003  
w 3 00000000  
w 4 00000000  
w 5 00000000  
w 6 00000000  
r 1 00000003  
r 2 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000002  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000002  
w 6 FFFFFFFF  
r 5 FFFFFFFF  
r 7 00000000  
r 5 FFFFFFFF  
r 6 FFFFFFFF  
r 3 00000002  
r 4 00000002  
w 7 00000006  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000001  
w 6 00000000  
r 5 FFFFFFFF  
r 7 00000006  
r 5 FFFFFFFF  
r 6 00000000  
r 3 00000002  
r 4 00000001  
w 7 00000006  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000000  
w 6 00000001  
r 5 FFFFFFFF  
r 7 00000006  
r 5 FFFFFFFF  
r 6 00000001  
r 3 00000002  
r 4 00000000  
w 7 00000006  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000001  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000001  
w 5 00000000  
r 4 00000002  
w 6 FFFFFFFF  
r 5 00000000  
r 5 00000000  
r 6 FFFFFFFF  
r 7 00000006  
r 5 00000000  
r 6 FFFFFFFF  
r 3 00000001  
r 4 00000002  
w 7 00000006  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000001  
w 5 00000000  
r 4 00000001  
w 6 00000000  
r 5 00000000  
r 5 00000000  
r 6 00000000  
r 6 00000000  
r 5 00000000  
r 6 00000000  
r 3 00000001  
r 4 00000001  
r 7 00000006  
r 5 00000000  
r 6 00000000  
r 3 00000001  
r 4 00000001  
w 7 00000007  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000001  
w 5 00000000  
r 4 00000000  
w 6 00000001  
r 5 00000000  
r 5 00000000  
r 6 00000001  
r 6 00000001  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000000  
r 7 00000007  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000000  
w 7 00000007  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000000  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000000  
w 5 00000001  
r 4 00000002  
w 6 FFFFFFFF  
r 5 00000001  
r 5 00000001  
r 6 FFFFFFFF  
r 7 00000007  
r 5 00000001  
r 6 FFFFFFFF  
r 3 00000000  
r 4 00000002  
w 7 00000007  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000000  
w 5 00000001  
r 4 00000001  
w 6 00000000  
r 5 00000001  
r 5 00000001  
r 6 00000000  
r 6 00000000  
r 5 00000001  
r 6 00000000  
r 3 00000000  
r 4 00000001  
r 7 00000007  
r 5 00000001  
r 6 00000000  
r 3 00000000  
r 4 00000001  
w 7 0000000A  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000000  
w 5 00000001  
r 4 00000000  
w 6 00000001  
r 5 00000001  
r 5 00000001  
r 6 00000001  
r 6 00000001  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000000  
r 7 0000000A  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000000  
w 7 0000000A  
r 1 00000003  
r 2 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000002  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000002  
w 6 00000000  
r 5 FFFFFFFF  
r 7 0000000A  
r 5 FFFFFFFF  
r 6 00000000  
r 3 00000002  
r 4 00000002  
w 7 0000000A  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000001  
w 6 00000001  
r 5 FFFFFFFF  
r 7 0000000A  
r 5 FFFFFFFF  
r 6 00000001  
r 3 00000002  
r 4 00000001  
w 7 0000000A  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000000  
w 6 00000002  
r 5 FFFFFFFF  
r 7 0000000A  
r 5 FFFFFFFF  
r 6 00000002  
r 3 00000002  
r 4 00000000  
w 7 0000000A  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000001  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000001  
w 5 00000000  
r 4 00000002  
w 6 00000000  
r 5 00000000  
r 5 00000000  
r 6 00000000  
r 6 00000000  
r 5 00000000  
r 6 00000000  
r 3 00000001  
r 4 00000002  
r 7 0000000A  
r 5 00000000  
r 6 00000000  
r 3 00000001  
r 4 00000002  
w 7 0000000B  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000001  
w 5 00000000  
r 4 00000001  
w 6 00000001  
r 5 00000000  
r 5 00000000  
r 6 00000001  
r 6 00000001  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000001  
r 7 0000000B  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000001  
w 7 0000000B  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000001  
w 5 00000000  
r 4 00000000  
w 6 00000002  
r 5 00000000  
r 5 00000000  
r 6 00000002  
r 6 00000002  
r 5 00000000  
r 6 00000002  
r 3 00000001  
r 4 00000000  
r 7 0000000B  
r 5 00000000  
r 6 00000002  
r 3 00000001  
r 4 00000000  
w 7 0000000B  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000000  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000000  
w 5 00000001  
r 4 00000002  
w 6 00000000  
r 5 00000001  
r 5 00000001  
r 6 00000000  
r 6 00000000  
r 5 00000001  
r 6 00000000  
r 3 00000000  
r 4 00000002  
r 7 0000000B  
r 5 00000001  
r 6 00000000  
r 3 00000000  
r 4 00000002  
w 7 0000000B  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000000  
w 5 00000001  
r 4 00000001  
w 6 00000001  
r 5 00000001  
r 5 00000001  
r 6 00000001  
r 6 00000001  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000001  
r 7 0000000B  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000001  
w 7 0000000B  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000000  
w 5 00000001  
r 4 00000000  
w 6 00000002  
r 5 00000001  
r 5 00000001  
r 6 00000002  
r 6 00000002  
r 5 00000001  
r 6 00000002  
r 3 00000000  
r 4 00000000  
r 7 0000000B  
r 5 00000001  
r 6 00000002  
r 3 00000000  
r 4 00000000  
w 7 0000000B  
r 1 00000003  
r 2 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000002  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000002  
w 6 00000001  
r 5 FFFFFFFF  
r 7 0000000B  
r 5 FFFFFFFF  
r 6 00000001  
r 3 00000002  
r 4 00000002  
w 7 3F80000B  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000001  
w 6 00000002  
r 5 FFFFFFFF  
r 7 3F80000B  
r 5 FFFFFFFF  
r 6 00000002  
r 3 00000002  
r 4 00000001  
w 7 3F80000B  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000002  
w 5 FFFFFFFF  
r 4 00000000  
w 6 00000003  
r 5 FFFFFFFF  
r 7 3F80000B  
r 5 FFFFFFFF  
r 6 00000003  
r 3 00000002  
r 4 00000000  
w 7 3F80000B  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000001  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000001  
w 5 00000000  
r 4 00000002  
w 6 00000001  
r 5 00000000  
r 5 00000000  
r 6 00000001  
r 6 00000001  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000002  
r 7 3F80000B  
r 5 00000000  
r 6 00000001  
r 3 00000001  
r 4 00000002  
w 7 3F80000B  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000001  
w 5 00000000  
r 4 00000001  
w 6 00000002  
r 5 00000000  
r 5 00000000  
r 6 00000002  
r 6 00000002  
r 5 00000000  
r 6 00000002  
r 3 00000001  
r 4 00000001  
r 7 3F80000B  
r 5 00000000  
r 6 00000002  
r 3 00000001  
r 4 00000001  
w 7 3F80000D  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000001  
w 5 00000000  
r 4 00000000  
w 6 00000003  
r 5 00000000  
r 5 00000000  
r 6 00000003  
r 6 00000003  
r 5 00000000  
r 6 00000003  
r 3 00000001  
r 4 00000000  
r 7 3F80000D  
r 5 00000000  
r 6 00000003  
r 3 00000001  
r 4 00000000  
w 7 3F80000D  
r 1 00000003  
r 2 00000003  
r 2 00000003  
w 3 00000000  
r 1 00000003  
r 1 00000003  
w 4 00000002  
r 3 00000000  
w 5 00000001  
r 4 00000002  
w 6 00000001  
r 5 00000001  
r 5 00000001  
r 6 00000001  
r 6 00000001  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000002  
r 7 3F80000D  
r 5 00000001  
r 6 00000001  
r 3 00000000  
r 4 00000002  
w 7 3F80000D  
r 1 00000003  
r 1 00000003  
w 4 00000001  
r 3 00000000  
w 5 00000001  
r 4 00000001  
w 6 00000002  
r 5 00000001  
r 5 00000001  
r 6 00000002  
r 6 00000002  
r 5 00000001  
r 6 00000002  
r 3 00000000  
r 4 00000001  
r 7 3F80000D  
r 5 00000001  
r 6 00000002  
r 3 00000000  
r 4 00000001  
w 7 3F80000F  
r 1 00000003  
r 1 00000003  
w 4 00000000  
r 3 00000000  
w 5 00000001  
r 4 00000000  
